Joueur;Equipe;Statut;Position;Age;2025-26;2026-27;2027-28;2028-29;2029-30
Trouba, Jacob;ANA;;RD;32;8000000;UFA;0;0;0
Carlson, John;ANA;;RD;36;8000000;UFA;0;0;0
Granlund, Mikael;ANA;;C,LW;34;7000000;7000000;7000000;UFA;0
Terry, Troy;ANA;;RW;28;7000000;7000000;7000000;7000000;7000000
McTavish, Mason;ANA;;C,LW;23;7000000;7000000;7000000;7000000;7000000
Kreider, Chris;ANA;;LW;34;6500000;6500000;UFA;0;0
Dostal, Lukas;ANA;;G;25;6500000;6500000;6500000;6500000;6500000
Killorn, Alex;ANA;;RW,LW;36;6250000;6250000;UFA;0;0
Vatrano, Frank;ANA;;LW;32;4571189;4571189;4571189;UFA;0
Mrazek, Petr;ANA;;G;34;4250000;UFA;0;0;0
Gudas, Radko;ANA;;RD;35;4000000;UFA;0;0;0
Fowler, Cam;ANA;;LD;34;2500000;0;0;0;0
Husso, Ville;ANA;;G;31;2200000;2200000;UFA;0;0
Poehling, Ryan;ANA;;C;27;1900000;3750000;3750000;3750000;3750000
Helleson, Drew;ANA;;RD;24;1100000;1100000;RFA;0;0
Johnston, Ross;ANA;;LW,RW;32;1100000;UFA;0;0;0
Carlsson, Leo;ANA;ELC;C;21;950000;RFA;0;0;0
Gauthier, Cutter;ANA;ELC;LW,C;22;950000;RFA;0;0;0
Solberg, Stian;ANA;ELC;D;20;942500;942500;942500;RFA;0
Sennecke, Beckett;ANA;ELC;RW;20;942500;942500;942500;RFA;0
Performance Bonus Cushion Excess;ANA;;;;940000;0;0;0;0
LaCombe, Jackson;ANA;;LD;25;925000;9000000;9000000;9000000;9000000
Moore, Ian;ANA;ELC;LD,RD;24;925000;RFA;0;0;0
Mintyukov, Pavel;ANA;ELC;LD;22;918333;RFA;0;0;0
Myatovic, Nico;ANA;ELC;LW,C;21;896667;896667;RFA;0;0
Gaucher, Nathan;ANA;ELC;C,RW;22;886666;886666;RFA;0;0
Suchanek, Tomas;ANA;ELC;G;22;870000;870000;RFA;0;0
Pettersson, Lucas;ANA;ELC;C;19;869050;869050;869050;RFA;0
Warren, Noah;ANA;ELC;D;21;865000;865000;RFA;0;0
Luneau, Tristan;ANA;ELC;D;22;865000;865000;RFA;0;0
Sidorov, Yegor;ANA;ELC;RW,LW;21;865000;865000;RFA;0;0
Pitre, Coulson;ANA;ELC;RW,C;21;858334;858334;RFA;0;0
Smith, Konnor;ANA;ELC;D;21;855000;855000;855000;RFA;0
Wiebe, Jaxsen;ANA;ELC;RW,C;23;852500;RFA;0;0;0
Buteyets, Vyacheslav;ANA;ELC;G;23;852500;RFA;0;0;0
Colangelo, Sam;ANA;;RW,C;24;850000;850000;RFA;0;0
Clara, Damian;ANA;ELC;G;21;846666;846666;846666;RFA;0
Zellweger, Olen;ANA;ELC;LD;22;844167;RFA;0;0;0
Hinds, Tyson;ANA;ELC;D;23;829444;RFA;0;0;0
Biakabutuka, Jérémie;ANA;ELC;D;24;825000;RFA;0;0;0
Pastujov, Sasha;ANA;ELC;RW,LW;22;825000;RFA;0;0;0
Washe, Tim;ANA;;;24;812500;812500;RFA;0;0
Nesterenko, Nikita;ANA;;C,LW;24;787500;787500;RFA;0;0
Harkins, Jansen;ANA;;C,LW;28;787500;UFA;0;0;0
Viel, Jeffrey;ANA;;LW,RW;29;775000;UFA;0;0;0
Mysak, Jan;ANA;;C,LW;23;775000;RFA;0;0;0
Clang, Calle;ANA;;G;23;775000;RFA;0;0;0
Caulfield, Judd;ANA;;RW,LW;25;RFA;0;0;0;0
Pastrnak, David;BOS;;RW,LW;29;11250000;11250000;11250000;11250000;11250000
McAvoy, Charlie;BOS;;RD;28;9500000;9500000;9500000;9500000;9500000
Swayman, Jeremy;BOS;;G;27;8250000;8250000;8250000;8250000;8250000
Lindholm, Elias;BOS;;C,RW;31;7750000;7750000;7750000;7750000;7750000
Lindholm, Hampus;BOS;;LD;32;6500000;6500000;6500000;6500000;6500000
Mittelstadt, Casey;BOS;;C,LW;27;5750000;5750000;UFA;0;0
Geekie, Morgan;BOS;;C,RW;27;5500000;5500000;5500000;5500000;5500000
Zadorov, Nikita;BOS;;LD;30;5000000;5000000;5000000;5000000;5000000
Zacha, Pavel;BOS;;C,LW;28;4750000;4750000;UFA;0;0
Arvidsson, Viktor;BOS;;LW,RW;32;4000000;UFA;0;0;0
Jeannot, Tanner;BOS;;LW,RW;28;3400000;3400000;3400000;3400000;3400000
Lohrei, Mason;BOS;;LD;25;3200000;3200000;RFA;0;0
Jokiharju, Henri;BOS;;RD;26;3000000;3000000;3000000;UFA;0
Korpisalo, Joonas;BOS;;G;31;3000000;3000000;3000000;UFA;0
Peeke, Andrew;BOS;;RD;28;2750000;UFA;0;0;0
Kuraly, Sean;BOS;;C,LW;33;1850000;1850000;UFA;0;0
Kastelic, Mark;BOS;;C,RW;27;1566667;1566667;1566667;UFA;0
Eyssimont, Michael;BOS;;C,LW;29;1450000;1450000;UFA;0;0
Reichel, Lukas;BOS;;C,LW;23;1200000;RFA;0;0;0
Khusnutdinov, Marat;BOS;;C,LW;23;925000;925000;RFA;0;0
Blumel, Matej;BOS;;RW,LW;25;875000;0;0;0;0
Zajicek, Simon;BOS;ELC;G;24;872500;RFA;0;0;0
Poitras, Matthew;BOS;ELC;C,RW;22;870000;RFA;0;0;0
Duran, Riley;BOS;ELC;C,RW;24;867500;RFA;0;0;0
Lysell, Fabian;BOS;ELC;RW,LW;23;863334;RFA;0;0;0
Gendron, Alexis;BOS;ELC;RW,C;22;860000;RFA;0;0;0
Brunet, Frédéric;BOS;ELC;LD;22;860000;875000;875000;RFA;0
Locmelis, Dans;BOS;ELC;C;22;860000;860000;860000;RFA;0
Steeves, Alex;BOS;;C,LW;26;850000;1625000;1625000;UFA;0
Johansson, Loke;BOS;ELC;D;20;831667;831667;831667;RFA;0
Wanner, Max;BOS;ELC;D;23;828333;RFA;0;0;0
Harris, Jordan;BOS;;LD;25;825000;RFA;0;0;0
Minten, Fraser;BOS;ELC;C,LW;21;816666;816666;RFA;0;0
Dipietro, Michael;BOS;;G;26;812500;812500;UFA;0;0
Cavallin, Luke;BOS;ELC;G;24;790000;RFA;0;0;0
Merkulov, Georgii;BOS;;C;25;775000;0;0;0;0
Aspirot, Jonathan;BOS;;LD;26;775000;887500;887500;UFA;0
Brown, Patrick;BOS;;C,RW;33;775000;UFA;0;0;0
Mutter, Navrin;BOS;;LW,C;25;775000;0;0;0;0
Farinacci, John;BOS;;C,RW;25;775000;0;0;0;0
Tufte, Riley;BOS;;LW,RW;27;775000;UFA;0;0;0
Soderstrom, Victor;BOS;;RD;25;775000;0;0;0;0
Callahan, Michael;BOS;;LD;26;775000;0;0;0;0
Sweezey, Billy;BOS;;D;30;775000;UFA;0;0;0
Carlo, Brandon;BOS;;RD;29;615000;615000;0;0;0
Dahlin, Rasmus;BUF;;LD,RD;25;11000000;11000000;11000000;11000000;11000000
Power, Owen;BUF;;LD,RD;23;8350000;8350000;8350000;8350000;8350000
Norris, Joshua;BUF;;C;26;7950000;7950000;7950000;7950000;7950000
Thompson, Tage;BUF;;C,RW;28;7142857;7142857;7142857;7142857;7142857
Byram, Bowen;BUF;;LD;24;6250000;6250000;UFA;0;0
McLeod, Ryan;BUF;;C;26;5000000;5000000;5000000;5000000;UFA
Tuch, Alex;BUF;;RW,C;29;4750000;UFA;0;0;0
Zucker, Jason;BUF;;LW,RW;34;4750000;4750000;UFA;0;0
Luukkonen, Ukko-Pekka;BUF;;G;27;4750000;4750000;4750000;4750000;UFA
Skinner, Jeff;BUF;;LW;33;4444444;6444444;2444444;2444444;2444444
Samuelsson, Mattias;BUF;;LD,RD;26;4285714;4285714;4285714;4285715;4285715
Greenway, Jordan;BUF;;LW,RW;29;4000000;4000000;UFA;0;0
Quinn, Jack;BUF;;RW,LW;24;3375000;3375000;RFA;0;0
Timmins, Conor;BUF;;RD;27;2200000;2200000;UFA;0;0
Danforth, Justin;BUF;;RW,C;33;1800000;1800000;UFA;0;0
Lyon, Alex;BUF;;G;33;1500000;1500000;UFA;0;0
Krebs, Peyton;BUF;;C,LW;25;1450000;RFA;0;0;0
Kesselring, Michael;BUF;;RD;26;1400000;RFA;0;0;0
Schenn, Luke;BUF;;RD;36;1375000;UFA;0;0;0
Malenstyn, Beck;BUF;;LW,RW;28;1350000;UFA;0;0;0
Stanley, Logan;BUF;;LD;27;1250000;UFA;0;0;0
Pearson, Tanner;BUF;;LW;33;1000000;UFA;0;0;0
Carrick, Sam;BUF;;C,RW;34;1000000;1000000;UFA;0;0
Kopff, Tyler;BUF;ELC;F;22;975000;975000;RFA;0;0
Mrtka, Radim;BUF;ELC;D;18;975000;975000;975000;RFA;0
Benson, Zach;BUF;ELC;LW,C;20;950000;RFA;0;0;0
Helenius, Konsta;BUF;ELC;C,RW;19;942500;942500;942500;RFA;0
Doan, Josh;BUF;ELC;RW,C;24;925000;6950000;6950000;6950000;6950000
Jones, Zachary;BUF;;LD;25;900000;RFA;0;0;0
Leinonen, Topias;BUF;ELC;G;22;886667;886667;886667;RFA;0
Östlund, Noah;BUF;ELC;C,LW;22;886666;886666;RFA;0;0
Kulich, Jiri;BUF;ELC;C,LW;21;886666;886666;RFA;0;0
Belliveau, Isaac;BUF;ELC;D;23;875000;RFA;0;0;0
Novikov, Nikita;BUF;ELC;D;22;867500;RFA;0;0;0
Fiddler-Schultz, Riley;BUF;ELC;;23;865000;865000;RFA;0;0
Nadeau, Olivier;BUF;ELC;RW,C;23;836667;RFA;0;0;0
Ratzlaff, Scott;BUF;ELC;G;21;835000;835000;835000;RFA;0
