Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Shesterkin, Igor;NYR;;G;30;;11500000;11500000;11500000;11500000;11500000
Fox, Adam;NYR;;RD;28;;9500000;9500000;9500000;9500000;UFA
Zibanejad, Mika;NYR;;C,RW;32;;8500000;8500000;8500000;8500000;8500000
Miller, J.T.;NYR;;C,LW;33;;8000000;8000000;8000000;8000000;8000000
Lafreniere, Alexis;NYR;;RW,LW;24;;7450000;7450000;7450000;7450000;7450000
Gavrikov, Vladislav;NYR;;LD;30;;7000000;7000000;7000000;7000000;7000000
Panarin, Artemi;NYR;;LW;34;;5821429;0;0;0;0
Trocheck, Vincent;NYR;;C;32;;5625000;5625000;5625000;5625000;UFA
Borgen, William;NYR;;RD,LD;29;;4100000;4100000;4100000;4100000;4100000
Cuylle, Will;NYR;;LW;24;;3900000;3900000;RFA;0;0
Schneider, Braden;NYR;;RD,LD;24;;2200000;RFA;0;0;0
Vaakanainen, Urho;NYR;;LD;27;;1550000;1550000;UFA;0;0
Quick, Jonathan;NYR;;G;40;;1550000;UFA;0;0;0
Raddysh, Taylor;NYR;;RW;28;;1500000;1500000;UFA;0;0
Kartye, Tye;NYR;;LW,C;24;;1250000;1250000;RFA;0;0
Parssinen, Juuso;NYR;;C,LW;25;;1250000;1250000;RFA;0;0
Rempe, Matt;NYR;;RW,C;23;;975000;975000;RFA;0;0
Edstrom, Adam;NYR;;LW,C;25;;975000;975000;RFA;0;0
Greentree, Liam;NYR;;RW;20;;942500;942500;942500;RFA;0
Perreault, Gabe;NYR;;RW;20;;941667;941667;RFA;0;0
Battaglia, Jacob;NYR;;RW,LW;20;;931667;931667;931667;RFA;0
Aspinall, Nathan;NYR;;LW;19;;925000;925000;925000;RFA;0
Morrow, Scott;NYR;;RD;23;;916667;RFA;0;0;0
Thompson, Aidan;NYR;;C,LW;24;;895000;895000;RFA;0;0
Terrance, Carey;NYR;;C;20;;886667;886667;886667;RFA;0
Tung, Callum;NYR;;G;22;;872500;872500;872500;RFA;0
Laba, Noah;NYR;;C;22;;870000;870000;RFA;0;0
Chmelar, Jaroslav;NYR;;RW,LW;22;;867500;867500;RFA;0;0
Berard, Brett;NYR;;LW;23;;867500;RFA;0;0;0
Väisänen, Kalle;NYR;;LW;23;;863333;863333;RFA;0;0
Ollas, Hugo;NYR;;G;23;;855000;RFA;0;0;0
Dorrington, Jackson;NYR;;D;21;;851667;851667;851667;RFA;0
Roobroeck, Dylan;NYR;;C,LW;21;;850000;850000;RFA;0;0
McConnell-Barker, Bryce;NYR;;C;21;;838333;838333;RFA;0;0
Iorio, Vincent;NYR;;RD;23;;814167;RFA;0;0;0
Sýkora, Adam;NYR;;LW,C;21;;806666;806666;RFA;0;0
Brodzinski, Jonny;NYR;;RW,LW;32;;787500;UFA;0;0;0
Sheary, Conor;NYR;;LW,RW;33;;775000;UFA;0;0;0
Dowling, Justin;NYR;;C,W;35;;775000;775000;UFA;0;0
Robertson, Matthew;NYR;;LD;25;;775000;775000;RFA;0;0
Brisson, Brendan;NYR;;LW,RW;24;;775000;RFA;0;0;0
Mackey, Connor;NYR;;D;29;;775000;UFA;0;0;0
Blidh, Anton;NYR;;LW;31;;775000;775000;UFA;0;0
Fix-Wolansky, Trey;NYR;;RW;26;;775000;UFA;0;0;0
Scanlin, Brandon;NYR;;D;26;;775000;UFA;0;0;0
Martin, Spencer;NYR;;G;30;;775000;775000;UFA;0;0
Garand, Dylan;NYR;;G;23;;775000;RFA;0;0;0
Fitzgerald, Casey;NYR;;D;29;;775000;UFA;0;0;0
Boyko, Talyn;NYR;;G;23;;775000;RFA;0;0;0
Henriksson, Karl;NYR;;C,LW;25;;RFA;0;0;0;0
Pajuniemi, Lauri;NYR;;RW;26;;RFA;0;0;0;0
Lamb, Brody;NYR;;RW;22;;RFA;980000;980000;0;0
