Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Larkin, Dylan;DET;;C;29;;8700000;8700000;8700000;8700000;8700000
Seider, Moritz;DET;;RD;24;;8550000;8550000;8550000;8550000;8550000
Raymond, Lucas;DET;;RW;23;;8075000;8075000;8075000;8075000;8075000
Debrincat, Alex;DET;;LW,RW;28;;7875000;7875000;UFA;0;0
Faulk, Justin;DET;;RD;33;;6500000;6500000;UFA;0;0
Gibson, John;DET;;G;32;;6400000;6400000;UFA;0;0
Copp, Andrew;DET;;C,LW;31;;5625000;5625000;UFA;0;0
Compher, J.T.;DET;;C,RW;30;;5100000;5100000;5100000;UFA;0
Chiarot, Ben;DET;;LD;34;;4750000;3850000;3850000;3850000;UFA
Perron, David;DET;;LW,RW;37;;4000000;UFA;0;0;0
Rasmussen, Michael;DET;;C;26;;3200000;3200000;3200000;UFA;0
Kane, Patrick;DET;;RW;37;;3000000;UFA;0;0;0
Appleton, Mason;DET;;RW;30;;2900000;2900000;UFA;0;0
Talbot, Cam;DET;;G;38;;2500000;UFA;0;0;0
Gustafsson, Erik;DET;;LD;34;;2000000;UFA;0;0;0
Johansson, Albert;DET;;LD,RD;25;;1125000;1125000;RFA;0;0
Abdelkader, Justin;DET;;LW,RW;39;;1055556;0;0;0;0
Hamonic, Travis;DET;;RD;35;;1000000;UFA;0;0;0
van Riemsdyk, James;DET;;LW;36;;1000000;UFA;0;0;0
Bear, Carter;DET;;C,LW;19;;975000;975000;975000;RFA;0
Postava, Michal;DET;;G;24;;975000;975000;RFA;0;0
Brandsegg-Nygård, Michael;DET;;RW,LW;20;;942500;942500;942500;RFA;0
Wallinder, William;DET;;D;23;;925000;RFA;0;0;0
Buium, Shai;DET;;D;22;;925000;925000;RFA;0;0
Kiiskinen, Jesse;DET;;RW;20;;923333;923333;923333;RFA;0
Sandin Pellikka, Axel;DET;;RD;21;;918333;918333;918333;RFA;0
Mazur, Carter;DET;;LW;23;;905833;RFA;0;0;0
Edvinsson, Simon;DET;;LD;23;;894167;RFA;0;0;0
Kasper, Marco;DET;;C;21;;886666;886666;RFA;0;0
Danielson, Nate;DET;;C;21;;886666;886666;886666;RFA;0
Bernard-Docker, Jacob;DET;;RD;25;;875000;RFA;0;0;0
Doucet, Alexandre;DET;;C,W;24;;870000;RFA;0;0;0
Rychlovsky, Jakub;DET;;LW;24;;870000;RFA;0;0;0
Johansson, Anton;DET;;D;21;;870000;870000;870000;RFA;0
Becher, Ondrej;DET;;C,W;22;;865000;865000;RFA;0;0
Cossa, Sebastian;DET;;G;23;;863334;RFA;0;0;0
Gylander, Carter;DET;;G;24;;855000;RFA;0;0;0
Lombardi, Amadeus;DET;;C;22;;838333;RFA;0;0;0
Finnie, Emmitt;DET;;C,LW;20;;821667;821667;821667;RFA;0
Tuomisto, Antti;DET;;D;25;;813750;0;0;0;0
Leonard, John;DET;;LW,RW;27;;775000;UFA;0;0;0
Dries, Sheldon;DET;;C,W;31;;775000;875000;875000;UFA;0
Shine, Dominik;DET;;C,RW;32;;775000;875000;875000;UFA;0
Lagesson, William;DET;;LD;30;;775000;775000;UFA;0;0
Watson, Austin;DET;;RW,LW;34;;775000;UFA;0;0;0
Tralmaks, Eduards;DET;;LW,RW;29;;775000;UFA;0;0;0
Milne, Michael;DET;;LW;23;;775000;RFA;0;0;0
Stachowiak, Wojciech;DET;;;26;;775000;RFA;0;0;0
Performance Bonus Cushion Excess;DET;;;;;502836;0;0;0;0
Genborg, Eddie;DET;;LW;18;;RFA;997500;997500;997500;0
Viro, Eemil;DET;;D;23;;RFA;0;0;0;0
