Joueur;Equipe;Statut;Position;Age;2025-26;2026-27;2027-28;2028-29;2029-30
Stutzle, Tim;OTT;;C,LW;24;8350000;8350000;8350000;8350000;8350000
Ullmark, Linus;OTT;;G;32;8250000;8250000;8250000;8250000;UFA
Tkachuk, Brady;OTT;;LW;26;8205714;8205714;8205714;UFA;0
Sanderson, Jake;OTT;;LD;23;8050000;8050000;8050000;8050000;8050000
Chabot, Thomas;OTT;;LD;29;8000000;8000000;8000000;UFA;0
Cozens, Dylan;OTT;;C;25;7100000;7100000;7100000;7100000;7100000
Batherson, Drake;OTT;;RW;27;4975000;4975000;UFA;0;0
Zub, Artyom;OTT;;RD;30;4600000;4600000;UFA;0;0
Zetterlund, Fabian;OTT;;LW,RW;26;4275000;4275000;4275000;UFA;0
Jensen, Nick;OTT;;RD;35;4050000;UFA;0;0;0
Pinto, Shane;OTT;;C;25;3750000;7500000;7500000;7500000;7500000
Foegele, Warren;OTT;;LW,C;29;3500000;3500000;UFA;0;0
Greig, Ridly;OTT;;C,LW;23;3250000;3250000;3250000;3250000;RFA
Amadio, Michael;OTT;;RW,LW;29;2600000;2600000;UFA;0;0
Giroux, Claude;OTT;;LW,RW;38;2000000;UFA;0;0;0
Kleven, Tyler;OTT;;LD;24;1600000;1600000;RFA;0;0
Spence, Jordan;OTT;;RD;25;1500000;RFA;0;0;0
Eller, Lars;OTT;;C,LW;36;1250000;UFA;0;0;0
MacDermid, Kurtis;OTT;;LW,RW;31;1150000;1150000;UFA;0;0
Merilainen, Leevi;OTT;;G;23;1050000;RFA;0;0;0
Korpisalo, Joonas;OTT;;G;31;1000000;1000000;1000000;0;0
Halliday, Stephen;OTT;ELC;C;23;950000;RFA;0;0;0
Yakemchuk, Carter;OTT;ELC;D;20;942500;942500;942500;RFA;0
Ellinas, Lucas;OTT;ELC;C,LW;20;875000;875000;875000;RFA;0
Matinpalo, Nikolas;OTT;;RD,LD;27;875000;875000;UFA;0;0
White, Colin;OTT;;C,RW;29;875000;875000;875000;0;0
Gilbert, Dennis;OTT;;LD;29;875000;UFA;0;0;0
Boucher, Tyler;OTT;ELC;RW,LW;23;863334;RFA;0;0;0
Reimer, James;OTT;;G;38;850000;UFA;0;0;0
Kidney, Riley;OTT;ELC;F;22;836667;RFA;0;0;0
Andonovski, Matthew;OTT;ELC;D;21;836666;836666;836666;RFA;0
Pettersson, Oskar;OTT;ELC;RW;22;835000;835000;RFA;0;0
Parsons, Jackson;OTT;ELC;G;21;829167;829167;829167;RFA;0
Cousins, Nick;OTT;;C,LW;32;825000;UFA;0;0;0
Crotty, Cameron;OTT;;D;26;812500;812500;UFA;0;0
Toure, Djibril;OTT;ELC;D;22;805000;RFA;0;0;0
Hamara, Tomas;OTT;ELC;D;22;803334;803334;RFA;0;0
Donovan, Jorian;OTT;ELC;D;21;796666;796666;RFA;0;0
Pilon, Garrett;OTT;;C,RW;27;775000;UFA;0;0;0
Thomson, Lassi;OTT;;D;25;775000;0;0;0;0
Kaliyev, Arthur;OTT;;RW,LW;24;775000;RFA;0;0;0
Hodgson, Hayden;OTT;;RW;30;775000;775000;UFA;0;0
Clarke, Graeme;OTT;;RW;24;775000;0;0;0;0
Bourgault, Xavier;OTT;;RW,C;23;775000;RFA;0;0;0
Bolduc, Samuel;OTT;;D;25;775000;0;0;0;0
Lycksell, Olle;OTT;;RW;26;775000;0;0;0;0
Sogaard, Mads;OTT;;G;25;775000;RFA;0;0;0
Formenton, Alex;OTT;;LW;26;RFA;0;0;0;0
