Joueur;Equipe;Statut;Position;Age;ELC_Saisons;2025-26;2026-27;2027-28;2028-29;2029-30
Ovechkin, Alex;WSH;;LW;40;;9500000;UFA;0;0;0
Chychrun, Jakob;WSH;;LD;28;;9000000;9000000;9000000;9000000;9000000
Dubois, Pierre-Luc;WSH;;C,LW;27;;8500000;8500000;8500000;8500000;8500000
Wilson, Tom;WSH;;RW;32;;6500000;6500000;6500000;6500000;6500000
Thompson, Logan;WSH;;G;29;;5850000;5850000;5850000;5850000;5850000
Roy, Matt;WSH;;RD;31;;5750000;5750000;5750000;5750000;5750000
Strome, Dylan;WSH;;C;29;;5000000;5000000;5000000;UFA;0
Sandin, Rasmus;WSH;;LD;26;;4600000;4600000;4600000;4600000;UFA
Protas, Aliaksei;WSH;;LW,RW;25;;3375000;3375000;3375000;3375000;UFA
Liljegren, Timothy;WSH;;RD;26;;3000000;UFA;0;0;0
Lindgren, Charlie;WSH;;G;32;;3000000;3000000;3000000;UFA;0
van Riemsdyk, Trevor;WSH;;RD;34;;3000000;UFA;0;0;0
Beauvillier, Anthony;WSH;;LW,RW;28;;2750000;2750000;UFA;0;0
Fehervary, Martin;WSH;;LD;26;;2675000;6000000;6000000;6000000;6000000
McMichael, Connor;WSH;;C,LW;25;;2100000;RFA;0;0;0
Milano, Sonny;WSH;;LW;29;;1900000;UFA;0;0;0
Duhaime, Brandon;WSH;;LW,RW;28;;1850000;UFA;0;0;0
Chisholm, Declan;WSH;;LD;26;;1600000;1600000;UFA;0;0
Kampf, David;WSH;;C,LW;31;;1100000;UFA;0;0;0
Gästrin, Milton;WSH;;C,LW;18;;975000;975000;975000;RFA;0
Lakovic, Lynden;WSH;;F;19;;975000;975000;975000;RFA;0
Miroshnichenko, Ivan;WSH;;LW;22;;950000;925000;925000;RFA;0
Leonard, Ryan;WSH;;RW,C;21;;950000;950000;RFA;0;0
Parascak, Terik;WSH;;RW;19;;942500;942500;942500;RFA;0
Hutson, Cole;WSH;;LD;19;;940833;940833;940833;RFA;0
Chesley, Ryan;WSH;;D;22;;923333;923333;923333;RFA;0
Muggli, Leon;WSH;;D;19;;908333;908333;908333;RFA;0
Funk, Zac;WSH;;RW,LW;22;;905000;905000;RFA;0;0
Thomas, Patrick;WSH;;C;21;;878333;878333;878333;RFA;0
Vikman, Jesper;WSH;;G;24;;858000;RFA;0;0;0
Mateiko, Eriks;WSH;;LW,RW;20;;856667;856667;856667;RFA;0
Protas, Ilya;WSH;;LW;19;;856667;856667;856667;RFA;0
Gucciardi, David;WSH;;D;23;;855000;855000;RFA;0;0
Allen, Cam;WSH;;D;21;;855000;855000;855000;RFA;0
Hofer, Ryan;WSH;;C;23;;851667;RFA;0;0;0
Lapierre, Hendrix;WSH;;C,LW;24;;850000;RFA;0;0;0
Cristall, Andrew;WSH;;LW;21;;841666;841666;841666;RFA;0
Sourdif, Justin;WSH;;RW,C;24;;825000;825000;RFA;0;0
Suzdalev, Alexander;WSH;;F;22;;814999;814999;RFA;0;0
Persson, Ludwig;WSH;;C,LW;22;;814999;814999;RFA;0;0
Gibson, Mitchell;WSH;;G;26;;812500;812500;UFA;0;0
McIlrath, Dylan;WSH;;RD;33;;800000;800000;UFA;0;0
Frank, Ethen;WSH;;RW,C;28;;775000;2000000;2000000;UFA;0
Smallman, Spencer;WSH;;C,RW;29;;775000;775000;UFA;0;0
Bongiovanni, Wyatt;WSH;;C;26;;775000;0;0;0;0
Trineyev, Bogdan;WSH;;LW;24;;775000;900000;900000;RFA;0
Leason, Brett;WSH;;RW,C;26;;775000;UFA;0;0;0
Rybinski, Henrik;WSH;;W,C;24;;775000;0;0;0;0
Schueneman, Corey;WSH;;D;30;;775000;UFA;0;0;0
Belpedio, Louie;WSH;;D;29;;775000;775000;UFA;0;0
Stevenson, Clay;WSH;;G;27;;775000;775000;UFA;0;0
Bjorklund, Garin;WSH;;G;23;;775000;RFA;0;0;0
Geisser, Tobias;WSH;;D;27;;RFA;0;0;0;0
undefined, undefined;WSH;;;;;;;;;
